"cbsa","zcta5","cbsaname15","zipname","pop16","afact"
"CBSA (current)","ZIP census tabulation area","2015 CBSA name","ZCTA name","Population (2016 est.)","cbsa to zcta5 allocation factor"
" ","02554"," ","Nantucket, MA",10661.7,0.001 
" ","02564"," ","Siasconset, MA",335.478,0 
" ","02584"," ","Nantucket, MA",10.822,0 
" ","03227"," ","Center Sandwich, NH",914.767,0 
" ","03254"," ","Moultonborough, NH",3999.262,0 
" ","03259"," ","North Sandwich, NH",363.929,0 
" ","03579"," ","Errol, NH",101.903,0 
" ","03812"," ","Bartlett, NH (PO Boxes)",814.884,0 
" ","03813"," ","Center Conway, NH",3214.046,0 
" ","03814"," ","Center Ossipee, NH",2303.235,0 
" ","03816"," ","Center Tuftonboro, NH",1352.866,0 
" ","03817"," ","Chocorua, NH",567.65,0 
" ","03818"," ","Conway, NH",3764.884,0 
" ","03830"," ","East Wakefield, NH",1592.189,0 
" ","03832"," ","Eaton Center, NH",390.63,0 
" ","03836"," ","Freedom, NH",1472.528,0 
" ","03838"," ","Glen, NH",1019.594,0 
" ","03845"," ","Intervale, NH",980.037,0 
" ","03846"," ","Jackson, NH",790.161,0 
" ","03847"," ","North Conway, NH",290.748,0 
" ","03849"," ","Madison, NH",1567.465,0 
" ","03850"," ","Melvin Village, NH",367.885,0 
" ","03853"," ","Mirror Lake, NH",595.34,0 
" ","03860"," ","North Conway, NH",4011.129,0 
" ","03864"," ","Ossipee, NH",1677.238,0 
" ","03872"," ","Sanbornville, NH",3766.862,0 
" ","03875"," ","Silver Lake, NH",823.785,0 
" ","03882"," ","Effingham, NH",1448.793,0 
" ","03883"," ","South Tamworth, NH",176.031,0 
" ","03886"," ","Tamworth, NH",2088.635,0 
" ","03887"," ","Union, NH",366.896,0 
" ","03890"," ","West Ossipee, NH",323.382,0 
" ","03894"," ","Wolfeboro, NH",6244.15,0 
" ","04010"," ","Brownfield, ME",1579.99,0 
" ","04022"," ","Denmark, ME",1135.772,0 
" ","04037"," ","Fryeburg, ME",3793.163,0 
" ","04040"," ","Harrison, ME",373.974,0 
" ","04041"," ","Hiram, ME",1595.819,0 
" ","04051"," ","Lovell, ME",1140.719,0 
" ","04068"," ","Porter, ME",1488.97,0 
" ","04088"," ","Waterford, ME",1499.853,0 
" ","04216"," ","Andover, ME",633.183,0 
" ","04217"," ","Bethel, ME",3276.723,0 
" ","04219"," ","Bryant Pond, ME",1456.321,0 
" ","04220"," ","Buckfield, ME",3044.226,0 
" ","04221"," ","Canton, ME",1086.305,0 
" ","04224"," ","Dixfield, ME",2999.496,0 
" ","04226"," ","East Andover, ME",187.976,0 
" ","04227"," ","East Dixfield, ME (PO Boxes)",78.159,0 
" ","04231"," ","Stoneham, ME",233.486,0 
" ","04234"," ","East Wilton, ME (PO Boxes)",163.812,0 
" ","04237"," ","Hanover, ME",235.465,0 
" ","04238"," ","Hebron, ME",1400.918,0 
" ","04239"," ","Jay, ME",4730.072,0 
" ","04255"," ","Greenwood, ME",793.458,0 
" ","04257"," ","Mexico, ME",2652.444,0 
" ","04261"," ","Newry, ME",439.271,0 
" ","04267"," ","North Waterford, ME (PO Boxes)",36.606,0 
" ","04268"," ","Norway, ME",4969.498,0 
" ","04270"," ","Oxford, ME",5817.37,0 
" ","04271"," ","Paris, ME (PO Boxes)",66.286,0 
" ","04275"," ","Roxbury, ME",508.525,0 
" ","04276"," ","Rumford, ME",5778.785,0 
" ","04281"," ","South Paris, ME",5061.508,0 
" ","04285"," ","Weld, ME",422.206,0 
" ","04286"," ","West Bethel, ME",46.499,0 
" ","04289"," ","West Paris, ME",1795.668,0 
" ","04290"," ","Peru, ME",1524.586,0 
" ","04292"," ","Sumner, ME",937.903,0 
" ","04294"," ","Wilton, ME",3895.411,0 
" ","04342"," ","Dresden, ME",1660.306,0 
" ","04348"," ","Jefferson, ME",2955.185,0 
" ","04353"," ","Whitefield, ME",2283.913,0 
" ","04354"," ","Palermo, ME",1557.875,0 
" ","04406"," ","Abbot, ME",786.679,0 
" ","04408"," ","Aurora, ME",176.003,0 
" ","04413"," ","Brookton, ME",187.613,0 
" ","04414"," ","Brownville, ME",1198.749,0 
" ","04415"," ","Brownville Junction, ME (PO Boxes)",265.108,0 
" ","04416"," ","Bucksport, ME",5468.1,0 
" ","04421"," ","Castine, ME",1366.025,0 
" ","04424"," ","Danforth, ME",785.061,0 
" ","04426"," ","Dover-Foxcroft, ME",4533.73,0 
" ","04429"," ","Holden, ME",1641.03,0 
" ","04431"," ","East Orland, ME (PO Boxes)",81.001,0 
" ","04438"," ","Frankfort, ME",1140.75,0 
" ","04441"," ","Greenville, ME",1767.386,0 
" ","04442"," ","Greenville Junction, ME (PO Boxes)",89.33,0 
" ","04443"," ","Guilford, ME",2436.88,0 
" ","04451"," ","Kingman, ME",74.701,0 
" ","04454"," ","Lambert Lake, ME (PO Boxes)",66.047,0 
" ","04459"," ","Mattawamkeag, ME",81.32,0 
" ","04460"," ","Medway, ME",13.238,0 
" ","04462"," ","Millinocket, ME",48.027,0 
" ","04463"," ","Milo, ME",2734.646,0 
" ","04464"," ","Monson, ME",657.007,0 
" ","04471"," ","Orient, ME",575.86,0 
" ","04472"," ","Orland, ME",2144.039,0 
" ","04476"," ","Penobscot, ME",1259.023,0 
" ","04478"," ","Rockwood, ME",308.056,0 
" ","04479"," ","Sangerville, ME",1290,0 
" ","04481"," ","Sebec, ME",536.94,0 
" ","04485"," ","Shirley Mills, ME",223.805,0 
" ","04490"," ","Topsfield, ME",261.318,0 
" ","04491"," ","Vanceboro, ME (PO Boxes)",134.009,0 
" ","04492"," ","Waite, ME",158.896,0 
" ","04496"," ","Winterport, ME",3812.988,0 
" ","04497"," ","Wytopitlock, ME",324.335,0 
" ","04535"," ","Alna, ME",704.041,0 
" ","04537"," ","Boothbay, ME",2058.501,0 
" ","04538"," ","Boothbay Harbor, ME",2065.452,0 
" ","04539"," ","Bristol, ME",1159.831,0 
" ","04541"," ","Chamberlain, ME",79.44,0 
" ","04543"," ","Damariscotta, ME",2202.487,0 
" ","04544"," ","East Boothbay, ME",718.936,0 
" ","04547"," ","Friendship, ME",1152.232,0 
" ","04551"," ","Bremen, ME",800.363,0 
" ","04553"," ","Newcastle, ME",1739.746,0 
" ","04554"," ","New Harbor, ME",705.034,0 
" ","04555"," ","Nobleboro, ME",1631.508,0 
" ","04556"," ","Edgecomb, ME",1240.264,0 
" ","04558"," ","Pemaquid, ME",305.846,0 
" ","04563"," ","Cushing, ME",1534.309,0 
" ","04564"," ","Round Pond, ME",485.58,0 
" ","04568"," ","South Bristol, ME",388.265,0 
" ","04570"," ","Squirrel Island, ME",1.986,0 
" ","04571"," ","Trevett, ME",320.741,0 
" ","04572"," ","Waldoboro, ME",5039.504,0 
" ","04573"," ","Walpole, ME",497.496,0 
" ","04574"," ","Washington, ME",1510.304,0 
" ","04575"," ","West Boothbay Harbor, ME (PO Boxes)",84.405,0 
" ","04576"," ","Southport, ME",599.775,0 
" ","04578"," ","Wiscasset, ME",4418.876,0 
" ","04605"," ","Ellsworth, ME",12974.238,0.001 
" ","04606"," ","Addison, ME",1217.568,0 
" ","04607"," ","Gouldsboro, ME",1182.022,0 
" ","04609"," ","Bar Harbor, ME",5222.096,0 
" ","04611"," ","Beals, ME (PO Boxes)",486.261,0 
" ","04612"," ","Bernard, ME",589.011,0 
" ","04613"," ","Birch Harbor, ME",183.003,0 
" ","04614"," ","Blue Hill, ME",2579.047,0 
" ","04616"," ","Brooklin, ME",824.015,0 
" ","04617"," ","Brooksville, ME",811.015,0 
" ","04619"," ","Calais, ME",2987.444,0 
" ","04622"," ","Cherryfield, ME",1354.316,0 
" ","04623"," ","Columbia Falls, ME",1008.896,0 
" ","04624"," ","Corea, ME",184.003,0 
" ","04625"," ","Cranberry Isles, ME (PO Boxes)",47.001,0 
" ","04626"," ","Cutler, ME",485.304,0 
" ","04627"," ","Deer Isle, ME",1636.03,0 
" ","04628"," ","Dennysville, ME",672.917,0 
" ","04629"," ","East Blue Hill, ME",107.002,0 
" ","04630"," ","East Machias, ME",1338.176,0 
" ","04631"," ","Eastport, ME",1274.043,0 
" ","04634"," ","Franklin, ME",1923.035,0 
" ","04635"," ","Frenchboro, ME (PO Boxes)",61.001,0 
" ","04637"," ","Grand Lake Stream, ME",130.18,0 
" ","04640"," ","Hancock, ME",2261.042,0 
" ","04642"," ","Harborside, ME",123.002,0 
" ","04643"," ","Harrington, ME",974.437,0 
